Ivanov;Ivan;Ivanovich;+79001112233;ivanov@mail.ru;Higher education
Petrov;Petr;Petrovich;+79002223344;petrov@mail.ru;Secondary education
Sidorov;Sidr;Sidorovich;+79003334455;sidorov@mail.ru;Higher education
Smirnov;Alexey;Olegovich;+79004445566;smirnov@mail.ru;College
Kuznetsova;Anna;Sergeevna;+79005556677;kuznetsova@mail.ru;Higher education
Popov;Dmitry;Ivanovich;+79006667788;popov@mail.ru;College
Sokolova;Maria;Andreevna;+79007778899;sokolova@mail.ru;Secondary education
Volkov;Nikolay;Petrovich;+79008889900;volkov@mail.ru;Higher education
Morozova;Elena;Vladimirovna;+79009990011;morozova@mail.ru;College
Fedorov;Kirill;Alexeevich;+79001113344;fedorov@mail.ru;Higher education
