Ivanova;Elena;Petrovna;+79110001122;ivanova.teacher@mail.ru;Database systems
Smirnov;Andrey;Viktorovich;+79110002233;smirnov.teacher@mail.ru;Java development
Petrova;Olga;Sergeevna;+79110003344;petrova.teacher@mail.ru;Cybersecurity
Sidorov;Maxim;Olegovich;+79110004455;sidorov.teacher@mail.ru;Networks
Volkova;Irina;Nikolaevna;+79110005566;volkova.teacher@mail.ru;Web technologies
Fedorov;Pavel;Alexandrovich;+79110006677;fedorov.teacher@mail.ru;Software engineering
Morozova;Anna;Igorevna;+79110007788;morozova.teacher@mail.ru;Testing
Kuznetsov;Dmitry;Vladimirovich;+79110008899;kuznetsov.teacher@mail.ru;UI/UX
Sokolova;Maria;Andreevna;+79110009900;sokolova.teacher@mail.ru;Project management
Popov;Kirill;Romanovich;+79110001010;popov.teacher@mail.ru;Information systems
